node,count,degree
screen reader users,1,0
user-interface,1,0
future trends in duxu,1,0
semiotics,1,0
service design,3,0
persuasion design,1,0
cultural markers,1,0
design patterns,1,0
availability,4,1
mobile products,1,0
future trends,3,0
methodology,5,5
mobile products/services,1,0
hci,2,0
design thinking,2,0
duxu in developing countries,1,0
design philosophy,1,0
cross-cultural research,1,0
banks,54,14
cryptofinancial technologies,1,0
smartphone,6,0
evolving technologies,1,0
bitcoin blockchain,1,0
transition,3,0
mobile learning system for rural people,1,0
banking service for rural people,1,0
unified mobile platform for real-time banking,1,0
mobile platform development for agent banking,1,0
emerge market economy,1,0
profit,3,0
environmental engineering,1,0
online platforms,1,0
internet usage,5,0
on-line tools,1,0
online platform,1,0
financial awareness,10,2
online surveys,2,0
demographic groups,2,0
online survey,1,0
online financial informations,1,0
decision support systems,6,0
computational thinkings,1,0
intended beneficiary,1,0
machine learning model,2,0
data driven,7,1
large-scales,2,0
algorithmics,5,2
transparency,17,9
computational thinking,1,0
data driven decision,2,0
population densities,2,0
marajó island,3,3
government data processing,9,4
ict for development,4,2
information and communication technologies,16,9
less-developed regions,1,0
agência barco,3,3
silver,1,0
delivery channels,1,0
media,1,0
cashless payments,6,3
smart city,7,1
utaut,25,14
literature reviews,8,4
internet connection,2,0
internet banking securities,1,0
under-served areas,1,0
control,1,0
control engineering,1,0
economic and monetary unions,1,0
open innovation ecosystem,1,0
alibaba group,1,0
hyperconnectivity,1,0
scam,1,0
behaviour,6,0
techniques and tools,1,0
personal identification,1,0
sociological factor,1,0
cause-and-effect diagram,1,0
root cause,1,0
root causes,1,0
czech republic,5,1
international comparison,3,0
blended learning,1,0
economic development informality,1,0
ethnic entrepreneurship,1,0
pradhan mantri jan dhanyojna (union government scheme to bank the unbanked),1,0
labor migrants,1,0
security policy,1,0
code mobility,1,0
codes (symbols),2,0
mobile process,1,0
security issues,5,0
type soundness,1,0
security systems,10,6
calculations,2,0
distributed database systems,1,0
urban centers,2,0
blowout preventers,1,0
bottom of the pyramid (bop),3,2
mobile ux,2,0
household types,1,0
ease of use,3,0
telephone sets,12,7
cellular telephone systems,17,12
telecommunication equipment,7,7
mobile remittances,2,0
money control,2,0
transnational families,1,0
design requirements,1,0
european union,18,10
j2ee,1,0
j2me,1,0
mobile devices,9,5
cellular telephones,22,22
bank customers,2,0
soft computing,1,0
servers,1,0
banking system,5,0
rsa algorithms,1,0
mobile users,1,0
rsa algorithm,1,0
m-payment,4,0
online systems,15,8
server,1,0
search engines,6,0
m payments,3,1
problem solving,2,0
policy discourse,1,0
policy reform,5,0
curriculum,6,1
life skills,1,0
economic citizenship,2,0
children,12,6
mexico national education system,1,0
savings in school programme,1,0
the unbanked in mexico,1,0
financial literacy in mexico,1,0
financial deepening and inclusion,1,0
young people,4,0
schools,5,7
uk,5,0
learning study,1,0
lesson study,1,0
phenomenography,1,0
variation theory,1,0
electronic banking,8,1
mobile agents,16,16
management science,2,0
mobile operators,4,1
money transactions,6,2
macro-economics,1,0
ict,39,28
human–computer interactions,1,0
computer interaction,2,0
real time systems,3,0
mipc,1,0
microfinance industry,1,0
real time,3,0
financial consumer,1,0
consumer protection financial literacy,1,0
security standards,1,0
m-governance,1,0
ridit analysis,1,0
multivariant analysis,3,0
attitudinal factors,1,0
quality control,7,1
banking service adoption,1,0
kruskal wallis test,1,0
exploratory factor analysis,3,0
kruskal-wallis tests,1,0
financial sector,14,4
semi-formal and informal sectors,1,0
bangladesh bank,1,0
non-bank financial institutions,3,0
banking in asia,1,0
banking in cambodia,1,0
acleda institute of business,1,0
acleda security,1,0
banking in asean,1,0
financial sector development,11,3
microfinance in asia,1,0
post-conflict organizational development,1,0
microfinance in asean,1,0
acleda securities,1,0
organizational development,1,0
teaching,4,0
aid-effectiveness,1,0
microfinance in cambodia,1,0
pure banking correspondence,1,0
hybrid banking correspondence ites,1,0
regulatory sandbox,7,3
confusion matrix,2,0
dtc,1,0
learning algorithms,15,15
svm,5,0
vlsi circuits,1,0
supervised machine learning,2,0
classification accuracy,1,0
lexical analysis,1,0
rfc,1,0
supervised learning methods,1,0
phishing url,1,0
decision tree classification,1,0
neural networks,5,1
signal processing,2,0
features,1,0
advanced traffic management systems,1,0
k-nn,1,0
random forest classification,1,0
learning techniques,4,1
information dissemination,3,0
policy initiatives,1,0
pearson correlation,1,0
household consumption,16,5
electronic payment,7,2
dependent variables,3,0
partial least-squares regression,1,0
venture capital,7,1
micro-finance,8,2
entrepreneurship on the margins,1,0
chinese internet economy,1,0
social credit system,1,0
micro insurance,1,0
reduced inequalities,1,0
scheduled tribes,3,0
awareness,21,17
affordable cost,1,0
microfinance sector growth,1,0
institutions transformation,1,0
supportive regulations,1,0
commercialization,3,1
street vendors,2,0
unified payment interface,8,5
unique digital identity,1,0
digital financial infrastructure,2,0
sharia-based blockchain,1,0
oic,2,0
western balkan,1,0
bootstrap,2,0
data envelopment analysis,9,3
regional participation,1,0
unbanked people,4,0
global recession,1,0
financial autonomy,4,1
financial volatility,1,0
overall technical efficiency,1,0
benchmarking,3,0
penetration,5,2
e-transaction,3,0
value added,1,0
nsso,1,0
enterprises,3,0
unorganized,1,0
manufacturing,4,0
customer relationship,1,0
market bank,1,0
loan,9,2
micro small and medium enterprise,1,0
peer to peer networks,11,10
commerce platforms,1,0
convolutional networks,2,0
development path,1,0
e- commerces,7,2
p2p network,1,0
p2p network lending,1,0
convolution,2,0
mobile commerce,19,11
convolutional network,1,0
e-commerce platform,1,0
public sector bank,1,0
bank efficiency,3,0
anova,3,0
branch expansion,1,0
private sector bank,1,0
digital signatures,1,0
paperless offices,1,0
social infrastructure,1,0
decentralized electronic toll collection system,1,0
automated toll-tax collection system,1,0
intelligent internet of vehicular things,1,0
blockchain application,1,0
innovations in microfinance,1,0
commercialization of microfinance institutions,1,0
financial sustainability for microfinance institutions,1,0
financial inclusion in developing countries,1,0
social outreach for microfinance institutions,1,0
crowd funding,2,0
p2p,8,3
binary logistic regression model,1,0
kolkata,2,0
slum dwellers,1,0
lucknow,1,0
microfinance in india,1,0
beggars and exclusion,1,0
manova,1,0
microeconomics,4,1
multivariate analysis of variance,1,0
socio economic status,1,0
microlending,6,1
green digital finance,1,0
belt and road initiative,3,0
global environmental governance,1,0
residents’ income,1,0
income gap,7,0
western region,3,0
resident’ income,1,0
cpmi,1,0
fatf,3,0
fsb,1,0
financial integrity,4,1
bis,2,0
biometric,4,2
biometrics,16,11
citizen's services,2,0
aadhaar card,2,0
gas connections,2,0
inter planetary file system,2,0
sim cards,2,0
driving forces,1,0
filesystem,3,3
inter planetary file system (ipfs),2,0
payment methods,10,3
consumer spending behavior,1,0
sustainable economic growth,2,0
digital payment systems,7,5
women entrepreneur,1,0
genai,1,0
nsfe,1,0
rbi,7,1
ncfe,1,0
p2p payments,3,0
p2p payment,4,3
universal access,3,0
its efficiencies,1,0
decentralized finance wallet,1,0
public trust in islamic social finance mechanisms in singapore,1,0
blockchain-based digital assets for cross-border remittance,1,0
shariah compliance challenges in malaysia and singapore,1,0
blockchain and digital banking of migrant workers in singapore,1,0
blockchain technology for regulatory compliance in malaysia,1,0
accountability of islamic social finance mechanisms,1,0
blockchain technology for shariah compliance in malaysia,1,0
public trust in islamic social finance mechanisms in malaysia,1,0
transparency of islamic social finance mechanisms,1,0
financial inclusion challenges in malaysia and singapore,1,0
blockchain and last mile of the unbanked population in malaysia,1,0
blockchain technology for shariah compliance in singapore,1,0
regulatory challenges of financial institutions in malaysia,1,0
blockchain technology for regulatory compliance in singapore,1,0
regulatory challenges of financial institutions in singapore,1,0
decentralized models,1,0
web 3.0,2,0
fast transfer,1,0
nonprofit organization,5,1
business models,11,5
latest technology,2,0
inclusion,51,25
inclusions,25,13
sustainability issues,1,0
streamline process,1,0
financial technologies (fintech),2,0
financial decision-making,13,2
computer aided language translation,1,0
computational finance,2,0
machine translations,2,0
computational linguistics,2,0
machine translation,2,0
technology application,2,0
machine translation models,1,0
syntactics,1,0
neural machine translation,1,0
responsible software systems,1,0
software-systems,1,0
responsible software system,1,0
efficiency increase,1,0
operational efficiencies,7,6
blending,1,0
gulf cooperation council,3,0
esg consideration,1,0
fintech ecosystem,7,1
demographic disparity,1,0
international financial landscape,1,0
growing markets,1,0
wealth management,4,0
demographic disparities,1,0
esg considerations,1,0
research designs,4,1
low incomes,10,7
low-income individuals,1,0
low-income individual,1,0
review papers,1,0
indian finance,1,0
"environmental, social, and governance",1,0
biometric identifications,2,0
financial support,6,2
esg,10,2
green computing,2,0
marketing,26,11
social responsibility,9,6
sustainable society,1,0
rural financial services,1,0
trust in financial institution,1,0
fintech solution,1,0
inclusive financial product,2,0
socioeconomic barrier,1,0
inclusive financial products,2,0
unbanked population,8,2
fintech solutions,3,0
rural financial service,1,0
socioeconomic barriers,1,0
trust in financial institutions,2,0
financial accessibility,9,0
managerial innovation,1,0
advanced analytics,3,3
managerial innovations,1,0
strategic response,1,0
interface system,1,0
real- time,12,10
upi,7,4
unified payments interface,3,2
real-time transactions,2,0
mobile financial service (mfs),2,0
bkash,1,0
digital microfinance,3,1
financial services providers,3,1
machine learning algorithms,2,0
reduced cost,1,0
mobile smart devices,1,0
cyber-attacks,6,2
smart devices,2,0
security infrastructure,1,0
opportunities,9,2
sustainable development goal index,1,0
recommendation,1,0
global goals,1,0
sdgs index,1,0
development strategies,1,0
recommendations,1,0
opportunity,4,0
capacity building,13,1
women entrepreneurship,12,2
woman entrepreneurship,1,0
mixed method,4,1
multi-dimensional index,3,0
resilient financial system,1,0
multi dimensional,3,0
nabard,3,0
bankers,3,0
collegial model,1,0
banker,2,0
environmental degradation,6,2
flow charts,1,0
abstracting,2,0
inclusive innovation,12,11
subject matters,3,0
inclusive innovations,3,3
prisma flow chart,1,0
disaster prevention,1,0
oriented transformation,1,0
personalization,2,0
personalizations,5,2
market-oriented transformation,1,0
waste management,4,0
recommendation engines,1,0
solid wastes,2,0
data-driven decision-making,1,0
agricultural sales,1,0
agricultural goods,1,0
multinomial logit,2,0
agricultural sale,1,0
agricultural good,1,0
data services,2,0
mobile usage,1,0
rapid expansion,1,0
representative sample,2,0
financial confidence,9,3
discrimination,15,6
institutional aspects,1,0
socioeconomic aspects,1,0
financial instruments,4,0
binary logit,1,0
ability,1,0
financial digital literacy,1,0
self help group,1,0
digital literacies,11,7
attitude,24,29
system stability,1,0
binary logit regression,1,0
financial data processing,8,0
onboarding,1,0
programme risks,1,0
risk assessment tool,1,0
strategic frameworks,1,0
localized solutions,1,0
large language models,2,0
design and evaluations,4,0
text simplification,1,0
language model,3,0
large language model,2,0
equitable access,3,1
reference-free,1,0
non-native,1,0
big data analytics,6,2
account aggregator,1,0
financial data sharing,1,0
open api,2,0
keycloak,1,0
open systems,2,0
architecture,3,0
oidc,1,0
big data analytic,2,0
results for patients,1,0
clinical judgment assistance,1,0
market transparency (sdg 16),1,0
identification of outlier,1,0
efficiency in operation,1,0
population health,3,0
efficiency in operations,1,0
financial inclusion (sdg 8),1,0
identification of outliers,1,0
health care,18,30
time series analysis,6,0
healthcare analytics,1,0
healthcare analytic,1,0
digital financial literacy (sdg 4),1,0
management of population health,1,0
result for patient,1,0
data integrity,3,0
ict-driven financial literacy,1,0
e-governance,4,3
online course,1,0
mobile app,1,0
e-government,5,3
curricula,1,0
digital financial education,2,0
digital tools,3,1
major factors,1,0
on-line payment,4,0
digital financial inclusion (fi),1,0
electronic payment method,1,0
internet connectivity,3,0
gateways (computer networks),2,0
islamic financial literacy,10,3
islamic banking,18,2
gdp,8,5
household asset allocation,2,0
fintec,1,0
risky financial market,1,0
financial consumer protection,4,0
family financial behavior,1,0
finance health,1,0
observation surveys,1,0
field observations,2,0
wetlands,1,0
natural grass,1,0
agricultural practices,2,0
sumatra,1,0
extreme weather,1,0
safety nets,1,0
peat land,1,0
small scale farmers,2,0
underbanked population,1,0
digital payment system,4,4
mobile wallets,5,0
socioeconomic,3,0
urban density,2,0
smart cities,3,0
research papers,6,2
complex correlation,2,0
socio-economic factor,4,1
economic dynamics,2,0
urban dynamics,2,0
halal fintech,1,0
india stack,1,0
technology revolution,2,0
customer experience,12,7
public and private sector,1,0
historical perspectives,1,0
historical analysis,1,0
fraud prospect,1,0
fraud prospects,1,0
historical perspective,4,1
fraud classification,1,0
mobile blockchain,1,0
mobile education,1,0
smartphones,18,12
cryptography,13,9
mobile entertainments,1,0
mobile health,1,0
mhealth,3,0
infotainment,1,0
mobile entertainment,1,0
mobile educations,1,0
payments bank,3,0
mobile gaming,1,0
mobile governance,1,0
new generation of investor,1,0
anti-money laundering regulation,1,0
implications for the monetary system,1,0
fintech and financial inclusion,1,0
history and features of fiat money,1,0
history and feature of fiat money,1,0
cryptocurrency and new generation of investor,1,0
fintech business model,1,0
implications for financial stability,1,0
implication for the monetary system,1,0
digital bank as a new generation of banking,1,0
cryptocurrency and new generation of investors,1,0
new generation of investors,1,0
cryptocurrency and anti-money laundering regulations,1,0
fintech business models,1,0
implication for financial stability,1,0
anti-money laundering regulations,1,0
cryptocurrency and anti-money laundering regulation,1,0
digital banks,1,0
cryptocurrency and financial stability,1,0
fiat money,1,0
hardware security,1,0
software security,1,0
security measure,1,0
point of sale,7,2
hardware attack,1,0
pos,2,0
credit discouragement,1,0
credit rationing,7,0
relationship lending,3,0
delinquency,6,0
uruguay,2,0
islamic microfinance institutions (ismfis),1,0
the rural development scheme (rds),1,0
urban poor development scheme (upds),1,0
kitagawa-oaxaca-blinder decomposition approach,1,0
spatial,1,0
labour force productivity,1,0
labor force productivity,1,0
household resilience,1,0
consumption expenditure,2,0
climate-smart agriculture,1,0
health shocks,4,0
location,2,0
mobile money usage,1,0
policy,42,30
mental distress,1,0
energy transition,4,1
women’s economic empowerment,4,1
shea value chain,1,0
distribution of microinsurance,1,0
insurance for all by 2047,1,0
access to insurance,1,0
earnings growths,1,0
social interactions,1,0
bb,1,0
circular economy,8,3
bbs,1,0
experience,5,0
knowledge,38,35
skills,2,0
price comparison,1,0
online buying behavior,1,0
online shopping,5,0
impulsive buying,2,0
price comparisons,1,0
behaviour changes,3,0
online buying,1,0
online buying behaviour,1,0
online shops,1,0
budgeting app,1,0
buying behavior,1,0
knowledge management,6,1
public opinion,2,0
kyc adherence,1,0
digital identification,3,0
"socioeconomic environment,",1,0
partnerships,3,0
distributed banking,2,0
india’s blockchain technologies,1,0
public opinions,2,0
scalability,4,1
regulatory structure,2,0
india’s blockchain technology,1,0
mutual-to-peer financing,1,0
data augmentation,1,0
regression modelling,3,1
natural languages,2,0
language processing,2,0
natural language processing,5,1
natural language processing systems,2,0
influence mechanism,3,0
jinping,1,0
impact mechanism,2,0
large-scale applications,1,0
financial risks,10,5
supply chains,21,11
trust mechanism,1,0
principal component analysis (pca),4,1
mobile banking adoption,6,0
performance expectancy,3,0
epistemic values,1,0
optimism,2,0
perceived risk,23,12
epistemic value,1,0
mobile-banking acceptance,1,0
behavioural intention,8,0
point of sale terminals,2,0
low-cost payment acceptance solution,1,0
digital policy,1,0
information policies,1,0
digital policies,1,0
low-costs,5,2
payment policy,1,0
paper analysis,6,2
information policy,1,0
capital markets,2,0
financial literacy education,8,2
credit utilisation,1,0
mfis efficiency,1,0
livelihood transformation,1,0
public ledger,1,0
islamic digital entrepreneurship,1,0
halalisation of production and consumption,1,0
halal entrepreneurship,1,0
halal retail and services,1,0
islamic entrepreneur,1,0
customer-service,1,0
ethical considerations,3,2
customer service,1,0
investment management,1,0
responsible use,1,0
narrative methods,2,0
psychology,57,122
"aged, 80 and over",12,23
animals,4,4
animal,3,4
dementia,3,3
nursing,1,0
low- and middle-income setting,1,0
caregivers,5,7
caregiver,7,18
caregiving,1,0
interpretative phenomenological analysis,2,0
persuasive communication,1,0
independent living,3,0
coercion,2,0
emigration,3,0
immigration policy,3,0
social network,17,10
urban population,11,14
international migration,11,2
migration costs,1,0
self-selection,1,0
brain drain,1,0
identification,4,0
brain-drain,2,0
instruments,1,0
heteroscedasticity,2,0
emigration intentions,1,0
survey data,4,1
interest rate ceiling,2,0
cost analysis,6,3
informal credit,8,1
o15,6,3
c11,2,0
c52,1,0
bayesian inference,1,0
bayesian model averaging,1,0
bayesian analysis,4,0
uncertainty analysis,3,0
economic diversification,3,0
group loans,1,0
individual loans,1,0
excessive extrapolation,1,0
outreach,12,5
economies of diversification,1,0
spheniscidae,1,0
aves,1,0
antarctica,1,0
cape washington,1,0
pleuragramma,1,0
inter-deep-dive-interval,1,0
foraging behavior,1,0
ross sea,1,0
foraging efficiency,1,0
southern ocean,1,0
antarctic silverfish,1,0
satellite data,2,0
aptenodytes forsteri,1,0
colony,1,0
prey availability,1,0
ross sea region mpa,1,0
penguin,1,0
east antarctica,1,0
bird,1,0
crary bank,1,0
diagnosis,7,10
adaptive behavior,5,5
musculoskeletal system,1,0
radiating pain,1,0
self control,3,0
secure mobile payment,1,0
near field communications,2,0
smartphone application,1,0
card payments,6,2
identity theft,7,0
payment processing,1,0
communication systems,2,0
complete control,1,0
radio frequency identification (rfid),1,0
in-control,1,0
customer centric payment model,1,0
execution time,1,0
near field communication (nfc),2,0
card frauds,1,0
rfid,1,0
ubiquitous computing,2,0
privacy protection,5,0
signal encoding,2,0
partially blind signature scheme,1,0
privacy and security,6,1
tail dependence,1,0
financial assets,4,0
extreme-value analysis,1,0
household economics,2,0
household financial asset holding,1,0
extreme value theory,1,0
economic variables,1,0
spectral risk measures,1,0
time diversification,1,0
vasicek process,1,0
gluevar,1,0
asset allocation,3,0
latent variables,2,0
response styles,1,0
logit regression models,1,0
hidden markov models,3,0
outpatient care,2,0
family characteristics,21,38
health expenditure,2,0
scale up,2,0
outcome assessment,15,21
wellbeing,25,30
family size,12,17
underserved communities,2,0
communication service,1,0
local contents,1,0
electrification,2,0
unserved communities,1,0
key constraints,1,0
communication services,1,0
underserved community,2,0
unserved community,1,0
stereotype logit models,1,0
longitudinal ordinal data,1,0
social outreach,3,1
moderation,3,0
condoms,3,9
condom,3,9
power (psychology),12,30
sexuality,6,21
sexual partners,4,10
prevention,7,5
assets,7,2
economic resources,1,0
utilization,6,12
student,18,23
risk behaviors,1,0
unsafe sex,3,5
hiv,8,13
viral load,2,0
virus load,2,0
mentor,4,4
adolescents living with hiv,1,0
multicenter study,2,0
perception,31,28
human experiment,53,70
human immunodeficiency virus infected patient,5,11
economic interventions,2,0
management,31,16
farming system,3,0
lake zone tanzania,1,0
climate-smart aquaculture (csaq),1,0
mara,1,0
aquaculture,1,0
integrated farming systems,1,0
adoption drivers,1,0
mwanza [tanzania],1,0
integrated approach,2,0
parity,6,10
breast neoplasms,4,6
early detection of cancer,5,17
comorbidity,1,0
anemia,1,0
cultural factor,4,8
mother,7,17
national family health survey,2,0
cancer prevention,1,0
cancer risk,3,4
employment status,3,3
indian,3,0
malignancy,1,0
patient empowerment,1,0
secondary education,1,0
aging,20,24
tobacco consumption,1,0
health survey,27,59
urban area,13,15
mass screening,5,15
risk factor,20,38
breast tumor,4,6
help seeking behavior,12,35
cancer screening,6,15
health behavior,21,42
early cancer diagnosis,5,17
patient acceptance of health care,14,39
patient attitude,14,37
breast cancer,3,6
alcohol consumption,6,9
human right,1,0
justice,5,0
citigroup,1,0
ethics code,1,0
special social responsibility,1,0
responsible finance,3,0
fairness,1,0
principles,1,0
exploitation,2,0
legitimacy,2,0
ethics,9,7
surplus distribution,1,0
green,4,0
usury laws,1,0
inequity aversion,1,0
bankruptcy laws,1,0
microfinance rating,1,0
organizations,4,1
social rating,1,0
non-profit organizations,2,0
social performance,12,4
information search,3,0
vulnerable entrepreneur,1,0
prosocial crowdfunding,1,0
united-states,1,0
rural entrepreneur,1,0
framing theory,1,0
market ethics,1,0
cryptocurrency atm technology,1,0
social contract theory,1,0
grounded theory,6,0
spouse,8,28
extended family,2,0
married person,3,6
couple conflict,1,0
marriage,26,58
qualitative research,33,56
financial infidelity,3,0
deception,1,0
deceit,1,0
friend,6,7
social welfare,7,4
social security,14,16
mental disorders,7,18
mental disease,11,32
"adaptation, psychological",10,14
equity release,1,0
ageing,1,0
financial behaviors,13,2
credit record,1,0
large income drop,1,0
household financial access,1,0
credit report,1,0
pain of paying,1,0
digital payment technologies,1,0
disadvantaged consumer,1,0
compromised accounts,1,0
consumer mistreatment,1,0
consumer vulnerability,4,0
infrastructures,2,0
management infrastructure,1,0
technological infrastructure,2,0
investment scam,1,0
investor protection,3,0
economic crime,2,0
digital fraud,1,0
loss - profit regime,1,0
ar(1),1,0
virtual currency,3,0
bayesian,1,0
stochastic differential equations,1,0
nanofinance,1,0
primary school education,2,0
participation,15,20
mobile telephony,9,1
information,35,29
anonymity,3,0
security features,1,0
wireless payments,1,0
mobile payment protocol,1,0
mobile environments,1,0
payment protocol,2,0
ordered probit regression with endogenous treatment,1,0
china mobiles,1,0
daily lives,3,0
happiness,11,4
institutional qualities,1,0
asian countries,4,1
"financial inclusion, information and communication technology",1,0
"financial inclusion, ict",1,0
institutional quality,17,5
quantile regression,20,14
technology diffusion,15,13
panel quantile regression,4,0
elderly,6,1
peking university,6,3
living standards,3,0
panel studies,5,3
empirical test,1,0
housing price determinants,1,0
consumption behavior,63,56
demand analysis,8,1
euro area,1,0
e31,1,0
r31,1,0
housing provision,1,0
housing market,4,0
eu,3,0
r21,1,0
housing prices,1,0
pseudo panel,2,0
total factor productivity,3,0
alternative agriculture,1,0
ipm,1,0
leafy vegetable,1,0
agricultural ecosystem,1,0
integrated pest management,1,0
farmers attitude,4,0
agro-ecology,1,0
hexapoda,1,0
benin [west africa],1,0
perceptions,7,0
brassica oleracea var. capitata,1,0
cabbage,2,0
crop production,4,0
barrier (equipment),1,0
mechanical control,1,0
southern benin,1,0
insect barrier,1,0
agricultural technology progress,1,0
urban–rural income gap,2,0
farmers’ income,2,0
brics nations,1,0
financial usage,2,0
tech-driven multidimensional financial inclusion,1,0
financial literacy (fl),2,0
financial inclusion (fi),5,0
fintech adoption (fia),1,0
life satisfaction (ls),1,0
consumers,8,1
private money,1,0
public money,1,0
microfinance plus,2,0
ate,1,0
social finance,3,0
innovative financial products,1,0
environmental finance,1,0
human empowerment,1,0
schumacher,1,0
sen’s freedoms,1,0
end-users,1,0
density ratio,1,0
i10,5,6
i32,7,11
o40,4,8
i20,1,0
gini index,1,0
conditional distribution,2,0
phones,4,1
interventions,2,0
segments beneficiaries,1,0
e-commerce,12,0
qualitative,6,3
adolescent girls,4,11
accounts,3,0
asset-building,2,0
account usage,1,0
financial management education,1,0
get checking™ program,1,0
banked,3,1
idas,1,0
young children,1,0
college savings,2,0
mortgage application behavior,1,0
financial education and counseling,1,0
religiosity,10,1
family socialization,1,0
financial strain,3,0
materialism,7,0
retirement preparation,1,0
precautionary savings,4,0
parenting relations,1,0
young adults,18,6
parental support,1,0
alcohol behaviors,1,0
parental financial socialization,2,0
youth financial education,1,0
parenting,4,1
youth financial inclusion,1,0
youth financial capability,1,0
elderly asian immigrants,1,0
economic security,2,0
material hardship,4,1
union history,1,0
nonmarital childbearing,1,0
asset accumulation,3,0
household retirement savings,1,0
family economics,1,0
life,3,0
decisions,3,0
gender-differences,5,0
saving rates,1,0
investment decisions,12,1
life-cycle,2,0
portfolio choice,1,0
consumption,27,14
alternative financial services (afs),1,0
nonbank,2,0
informal financial sector,3,0
payday lenders,1,0
family relationships,2,0
attachment,1,0
emerging adults,7,4
geographic location,1,0
financial attitudes,7,3
responsible spending behavior,1,0
chinese households,2,0
access to credit,16,4
membership,1,0
family finance,5,3
young adult romantic partner,1,0
parenting young adults,1,0
young adult financial behavior,1,0
transition to adulthood,2,0
chinese adolescents,1,0
student loan debt,3,0
financial wellness,5,1
higher education,8,0
student loans,2,0
difference-in-difference,3,0
academic performance,2,0
school attendance,3,0
family income,3,2
achievement,4,1
junior high school,1,0
expectations,1,0
information acquisition,2,0
division of labor,3,0
behavioral nudges,1,0
financial knowledge financial literacy,1,0
asset ownership,2,0
savings accounts,5,1
economic constraint,1,0
financial-planning behaviors,1,0
closeness with parents,1,0
domain-general socialization,1,0
young adults’ responsibility,1,0
perceived financial capability,2,0
age effect,1,0
coping behavior,13,20
financial stressors,2,0
financial advice-seeking,1,0
financial skills,10,4
child development accounts,6,2
retirement saving,4,1
retirement planning,14,5
financial hardship,5,1
race/ethnicity,4,0
g50,4,1
d14,14,6
retirement,17,7
household attributes,1,0
written will,1,0
family financial planning,1,0
state policy,1,0
pre-retirees,1,0
unsecured debt,1,0
retirement security,3,0
secured debt,1,0
financial shock,1,0
saving habit,1,0
saving behavior,8,1
income volatility,3,0
low-income,6,3
financial barriers,2,0
psychological self-sufficiency,2,0
financial hope,2,0
financial functionings,1,0
sen’s capability approach,1,0
socioeconomic position,1,0
financial practice,2,0
racialized older immigrants,1,0
adversity,1,0
black women,1,0
black middle-class,1,0
financial dependence on parents,1,0
emerging adulthood,6,1
poverty-alleviation resilience,2,0
development resilience,2,0
poverty-eradication resilience,2,0
"health knowledge, attitudes, practice",18,52
pap testing,1,0
asian americans,1,0
health belief model,1,0
asian american,1,0
vagina smear,1,0
papanicolaou test,2,0
vietnamese american,1,0
statistics and numerical data,17,40
attitude to health,23,67
uterine cervical neoplasms,4,10
vaginal smears,1,0
cervical cancer,2,0
de-risking,5,0
contract termination,1,0
payment account,2,0
public interests,1,0
good faith,1,0
malicious profile,1,0
steganography,1,0
multimedia social network,1,0
botnet,1,0
botnet detections,1,0
detection system,1,0
feature extraction,1,0
evaluation metrics,1,0
communication structures,1,0
botnet detection,1,0
effective medium,1,0
stegobot traffic,1,0
image steganography,1,0
stock-market development,1,0
foreign direct-investment,7,6
knowledge economy,4,0
sector competition,1,0
unit-root tests,1,0
allocation efficiency,1,0
adaptation constraints,1,0
adaptation behaviour,1,0
village,7,4
semiarid region,1,0
vertical ties,1,0
disaster management,1,0
natural hazard,1,0
tohoku,1,0
3/11,1,0
linking social capital,1,0
disaster,2,0
political ideology,2,0
honshu,1,0
political behavior,1,0
japan,5,3
local planning,3,0
drought,2,0
drought shocks,1,0
low income housing,3,0
health status,15,24
adaptive strategies,1,0
vulnerability to relative poverty,1,0
off-farm employment,2,0
leverage,3,0
bank lending,4,0
germany,8,1
roads and streets,1,0
toll highways,1,0
fleet operations,1,0
toll collection,1,0
socioeconomic characteristics,4,0
toll roads,1,0
on-board units,1,0
electronic toll collection systems,1,0
public authorities,1,0
spain,9,3
electronic toll collection,1,0
willingness to pay,5,0
preference behavior,6,0
on-board unit,1,0
stated preference surveys,1,0
stated preference survey,1,0
road transport,1,0
formal banking sector,1,0
institutional savings theory,1,0
micro finance institutions,1,0
motivations,3,0
fuzzy analytical hierarchal process,1,0
nardl,5,0
technology infrastructure,3,0
ssa,5,2
technology preparedness,1,0
agriculture risk: risk management,1,0
microfinance and financial inclusion,1,0
"saarc, south asia",1,0
female entrepreneurship,6,1
green innovation,5,2
green technology,2,0
d18,1,0
bank regulation,6,0
g18,2,0
banking deregulation,1,0
accounting information content,1,0
bank holding companies,1,0
gramm-leach-bliley act,1,0
business development services,1,0
loan guarantee,1,0
green management,1,0
credit constraints,12,0
moderating role,3,0
labor productivity,1,0
firm vulnerability,1,0
business resilience,1,0
environmental-management,1,0
j16,5,1
m21,1,0
l25,2,0
g32,3,0
benin,3,0
o12,5,2
political connections,1,0
p13,1,0
intellectual base,1,0
e51,5,1
bibliometrics,18,4
research directions,1,0
credit union,2,0
g23,8,1
socioeconomic survey,2,0
social behavior,26,20
alternative financial services,11,3
underbanked,8,2
mexico [north america],20,17
lebanon,6,1
turkey,7,1
payment instruments,3,0
social indicator,1,0
electronic cards,1,0
survey method,7,3
comparative study,17,15
future prospect,9,3
learning,8,10
fuzzy mathematics,2,0
financial infrastructure,5,1
urban economy,5,1
relative poverty,3,0
household structure,6,0
urban households,1,0
adverse financial experiences,1,0
logistics,5,0
